Airfoil: 7037B
Builder: D. Thompson
Comment: clean
0.006   0.0227    -1.32
0.152   0.0258    -0.31
0.258   0.0296     0.71
0.335   0.0314     1.75
0.400   0.0369     2.75
0.519   0.0416     4.03
0.683   0.0382     4.84
0.796   0.0355     5.87
0.895   0.0302     6.89
0.977   0.0245     7.92
0.993   0.0352     8.90
1.029   0.0467    10.11
100400
17
-0.439   0.0302    -6.44
-0.394   0.0244    -5.45
-0.302   0.0199    -4.41
-0.161   0.0165    -3.38
-0.004   0.0176    -2.33
0.138   0.0193    -1.31
0.265   0.0211    -0.01
0.322   0.0231     0.72
0.409   0.0262     1.77
0.499   0.0291     2.80
0.601   0.0291     3.82
0.708   0.0245     4.84
0.805   0.0201     5.86
0.895   0.0193     6.89
0.954   0.0242     7.91
0.981   0.0322     8.89
1.021   0.0398     9.91
200500
17
-0.438   0.0236    -6.42
-0.307   0.0173    -5.38
-0.182   0.0133    -4.37
-0.099   0.0112    -3.35
-0.030   0.0096    -2.32
0.060   0.0113    -1.31
0.192   0.0114    -0.28
0.326   0.0117     0.74
0.418   0.0123     1.77
0.517   0.0128     2.80
0.622   0.0130     3.83
0.719   0.0128     4.80
0.824   0.0131     5.87
0.902   0.0154     6.90
0.944   0.0224     7.91
0.986   0.0279     8.92
1.022   0.0353     9.93
300700
17
-0.396   0.0200    -6.42
-0.277   0.0147    -5.37
-0.162   0.0118    -3.98
-0.118   0.0109    -3.41
-0.030   0.0090    -2.33
0.056   0.0086    -1.31
0.157   0.0091    -0.29
0.325   0.0100     0.75
0.419   0.0096     1.73
0.523   0.0097     2.80
0.626   0.0100     3.84
0.727   0.0103     4.86
0.824   0.0108     5.89
0.893   0.0154     6.90
0.937   0.0209     7.88
0.984   0.0257     8.91
1.021   0.0330     9.92
Airfoil: E423
Builder: D. Glaze / M. Lazor
Comment: clean
5
60300
11
-0.200   0.1057    -4.55
-0.252   0.1098    -3.03
-0.054   0.1048    -1.48
0.274   0.0999     0.09
0.489   0.1083     1.64
0.604   0.1175     3.14
0.699   0.1311     4.67
0.784   0.1514     6.20
0.855   0.1614     7.73
0.900   0.1742     9.23
0.960   0.2051    10.75
99700
11
0.218   0.0633    -4.42
0.358   0.0530    -2.90
0.696   0.0304    -1.29
0.859   0.0336     0.21
0.978   0.0405     1.76
1.118   0.0411     3.28
1.267   0.0403     4.85
0.945   0.1296     6.22
0.974   0.1425     7.71
0.995   0.1941     9.25
1.056   0.1924    10.70
198600
11
0.251   0.0597    -4.43
0.432   0.0464    -2.88
0.797   0.0193    -1.29
0.948   0.0205     0.20
1.099   0.0216     1.76
1.245   0.0219     3.32
1.378   0.0222     4.85
1.579   0.0256     7.22
1.633   0.0267     7.90
1.742   0.0282     9.32
1.871   0.0296    11.00
296900
11
0.727   0.0168    -2.31
0.883   0.0158    -0.76
1.035   0.0168     0.76
1.187   0.0173     2.30
1.328   0.0177     3.83
1.463   0.0177     5.36
1.597   0.0190     6.89
1.716   0.0204     8.44
