Airfoil A18
Builder R. Cooney
Comment clean
0.294   0.0203    -5.10
0.447   0.0148    -4.10
0.586   0.0116    -3.05
0.698   0.0116    -2.03
0.796   0.0126    -1.03
0.904   0.0135     0.02
1.005   0.0138     1.01
1.116   0.0146     2.09
1.217   0.0151     3.10
1.316   0.0157     4.13
1.409   0.0158     5.15
1.493   0.0163     6.17
1.571   0.0172     7.13
1.660   0.0183     8.23
1.721   0.0195     9.14
1.778   0.0224    10.23
1.812   0.0273    11.27
1.835   0.0339    12.27
Airfoil S1223
Builder Y. Tinel
Comment clean
7
100600
11
0.387   0.0665    -3.29
0.756   0.0331    -2.52
0.944   0.0226    -0.99
1.048   0.0244    -0.01
1.136   0.0280     0.92
1.213   0.0290     1.75
1.291   0.0303     2.59
1.372   0.0332     3.72
1.461   0.0376     4.85
1.529   0.0418     5.74
1.588   0.0481     6.72
150500
4
0.784   0.0255    -2.29
0.956   0.0200    -0.81
1.130   0.0221     0.75
1.339   0.0259     2.92
149700
6
1.432   0.0275     3.94
1.543   0.0315     5.25
1.669   0.0359     6.87
1.796   0.0425     8.64
1.879   0.0477     9.94
1.972   0.0532    11.47
200400
11
0.591   0.0414    -2.83
0.910   0.0190    -1.45
1.083   0.0191    -0.00
1.145   0.0200     0.67
1.256   0.0212     1.82
1.369   0.0223     2.99
1.428   0.0227     3.77
1.510   0.0245     4.76
1.628   0.0277     6.26
1.678   0.0289     6.90
1.753   0.0314     7.93
198500
7
1.829   0.0335     8.91
1.913   0.0360    10.16
1.971   0.0383    11.10
2.018   0.0397    11.87
2.094   0.0413    13.17
2.139   0.0428    13.96
2.195   0.0454    15.19
249700
12
0.446   0.0550    -3.04
0.944   0.0169    -1.07
1.120   0.0175     0.47
1.262   0.0197     1.94
1.406   0.0209     3.48
1.535   0.0226     5.12
1.657   0.0252     6.64
1.776   0.0276     8.18
1.877   0.0302     9.57
1.998   0.0337    11.39
2.090   0.0358    12.93
2.173   0.0396    14.58
299100
13
0.642   0.0400    -2.68
0.961   0.0168    -1.02
1.131   0.0164     0.48
1.282   0.0187     2.05
1.429   0.0200     3.60
1.548   0.0212     5.10
1.671   0.0232     6.61
1.800   0.0257     8.21
1.910   0.0281     9.70
2.016   0.0307    11.22
2.116   0.0336    12.84
2.175   0.0371    14.74
2.217   0.0454    16.38
Airfoil S1223GF1
Builder Y. Tinel
Comment gurney flap (h/c = 1.04%)
1
199400
3
1.266   0.0241    -0.39
1.636   0.0289     3.62
1.915   0.0364     7.83
Airfoil S1223VG1
Builder Y. Tinel
Comment upper surface vortex generator type "A" @ x/c = 17%
1
200100
6
0.975   0.0302    -0.43
1.184   0.0336     1.77
1.352   0.0362     3.78
1.521   0.0410     5.85
1.653   0.0454     7.70
1.801   0.0527     9.92
Airfoil S6062
